Name,MG_RTP,MG_hitrate,MG_stdev,FG_RTP,FS_hitrate,FS_stdev,FS_entry,exposure,ROE,RTP,stdev
Mahjong Ways,0.688873729,3.527414286,3.515222415,0.280660115,2.499695866,-,206.0254286,2898.35,462,0.969533843,7.175875773
Mahjong Ways Two,0.703937111,3.367225014,3.064247084,0.265486586,2.577209969,-,218.0148743,1707.6,531,0.969423698,6.467239082
Fortune Tiger,0.649625241,4.518313174,4.588388587,0.318454989,1,47.63321711,100.7356031,2500,-,0.96808023,6.586445289
Treasures of Aztec,0.695907487,3.480995616,3.724383525,0.271172859,2.623914343,63.55272493,179.2987,9070.5,486,0.967080346,7.044979099
Lucky Neko,0.75338265,3.64156,4.070734315,0.21391089,2.699104969,-,317.3381,5527.4,471,0.96729354,7.34976
Fortune-Ox,0.725745261,4.69,4.249363251,0.24156003,1,52.29496009,130.07,2000,544,0.967501494,6.241484995
Fortune Rabbit,0.715055569,4.709673505,4.361034368,0.252476316,3.294624181,12.18950127,130,1206,601,0.967531885,5.89499
Wild Bounty Showdown,0.710264958,3.467701832,6.896154701,0.256972581,3.336022835,107.5106631,222.56958,5000,359,0.967237539,10.04212
Wild Bandito,0.686381126,3.272425049,3.014771533,0.280941738,2.852283237,99.61133384,250.5772,2525.175,470,0.967322864,7.056375
Queen of Bounty,0.6610096,2.572787649,3.314144213,0.3063686,1.991301381,-,200.2246,7575.9,455,0.9673782,7.839829
Ways of the Qilin,0.750738315,2.961928614,-,0.216188847,2.422534734,-,296.4974123,7106.075,471,0.966927162,7.10636982
Fortune Mouse,0.736522963,4.578599296,-,0.233231388,1,-,98.05483717,1000,695,0.969754351,5.498362241
Ganesha Fortune,0.690128709,4.120852262,-,0.277071512,1.829485857,-,260.7322749,7524.375,451,0.967200221,7.444364943
Dragon Hatch,-,3.31439,-,-,-,-,-,2027.25,580,0.968333493,5.950131443
Cai Shen Wins,0.7277185,2.81576962,2.698096981,0.2415243,2.631433157,-,196.301,3795.725,621,0.9692428,5.871032
Cocktail Nights,0.717622203,3.521729397,3.486060598,0.249918241,2.472293941,97.92043074,259.0438657,9697.65,509,0.967540444,7.047039069
Captains Bounty,0.6570251,2.576091297,3.175468469,0.3044915,2.289634139,-,202.0473,4795.65,432,0.9615161,7.527722099
Leprechaun Riches,0.750029648,2.9668,3.414031229,0.223430258,2.617156015,-,330.5288,9892.5,483,0.973459906,7.705951977
Dragon Tiger Luck,-,7.719715414,-,-,-,-,-,100,755,0.967682,4.784559614
Speed Winner,0.785020519,3.631984165,3.803725624,0.18228777,2.877872474,77.40975537,227.6765,8344.8,578,0.967308289,6.44213687
